species,file,site,node,count,px_cm,include,base_x,base_y,tip_x,tip_y
cardinalis,LCARDAC23236-2-4_26_31,LCARDAC23236 (2),26,31,117,,,,,
cardinalis,LCARDAC23236-2-4_27_31,LCARDAC23236 (2),27,31,117,,,,,
cardinalis,LCARDAC23236-2-4_28_31,LCARDAC23236 (2),28,31,117,,,,,
cardinalis,LCARDAC23236-2-4_29_31,LCARDAC23236 (2),29,31,117,,,,,
cardinalis,LCARDAC23236-2-4_30_31,LCARDAC23236 (2),30,31,117,,,,,
cardinalis,LCARDAC23236-2-4_31_31,LCARDAC23236 (2),31,31,117,,,,,
cardinalis,LCARDAC23236-2-5_1_9,LCARDAC23236 (2),1,9,118,,,,,
cardinalis,LCARDAC23236-2-5_2_9,LCARDAC23236 (2),2,9,118,,,,,
cardinalis,LCARDAC23236-2-5_3_9,LCARDAC23236 (2),3,9,118,,,,,
cardinalis,LCARDAC23236-2-5_4_9,LCARDAC23236 (2),4,9,118,,,,,
cardinalis,LCARDAC23236-2-5_5_9,LCARDAC23236 (2),5,9,118,,,,,
cardinalis,LCARDAC23236-2-5_6_9,LCARDAC23236 (2),6,9,118,,,,,
cardinalis,LCARDAC23236-2-5_7_9,LCARDAC23236 (2),7,9,118,,,,,
cardinalis,LCARDAC23236-2-5_8_9,LCARDAC23236 (2),8,9,118,,,,,
cardinalis,LCARDAC23236-2-5_9_9,LCARDAC23236 (2),9,9,118,,,,,
cardinalis,LCARDAC23236-2-6_1_17,LCARDAC23236 (2),1,17,115,,,,,
cardinalis,LCARDAC23236-2-6_2_17,LCARDAC23236 (2),2,17,115,,,,,
cardinalis,LCARDAC23236-2-6_3_17,LCARDAC23236 (2),3,17,115,,,,,
cardinalis,LCARDAC23236-2-6_4_17,LCARDAC23236 (2),4,17,115,,,,,
cardinalis,LCARDAC23236-2-6_5_17,LCARDAC23236 (2),5,17,115,,,,,
cardinalis,LCARDAC23236-2-6_6_17,LCARDAC23236 (2),6,17,115,,,,,
cardinalis,LCARDAC23236-2-6_7_17,LCARDAC23236 (2),7,17,115,,,,,
cardinalis,LCARDAC23236-2-6_8_17,LCARDAC23236 (2),8,17,115,,,,,
cardinalis,LCARDAC23236-2-6_9_17,LCARDAC23236 (2),9,17,115,,,,,
cardinalis,LCARDAC23236-2-6_10_17,LCARDAC23236 (2),10,17,115,,,,,
